antecedents,consequents
"frozenset({'tamarind', 'bean', 'okra'})",frozenset({'tomato'})
"frozenset({'tomato', 'bean', 'okra'})",frozenset({'tamarind'})
"frozenset({'tamarind', 'bean'})","frozenset({'tomato', 'okra'})"
"frozenset({'tamarind', 'okra'})","frozenset({'tomato', 'bean'})"
"frozenset({'potato', 'tomato', 'bell pepper'})",frozenset({'carrot'})
"frozenset({'carrot', 'potato', 'bell pepper'})",frozenset({'tomato'})
"frozenset({'carrot', 'tomato', 'bell pepper'})",frozenset({'potato'})
"frozenset({'potato', 'tomato', 'carrot'})",frozenset({'bell pepper'})
"frozenset({'potato', 'bell pepper'})","frozenset({'tomato', 'carrot'})"
"frozenset({'egg', 'butter', 'cheese'})",frozenset({'flour'})
"frozenset({'egg', 'cheese', 'flour'})",frozenset({'butter'})
"frozenset({'butter', 'cheese', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'butter', 'cheese'})",frozenset({'milk'})
"frozenset({'egg', 'cheese', 'milk'})",frozenset({'butter'})
"frozenset({'butter', 'cheese', 'milk'})",frozenset({'egg'})
"frozenset({'butter', 'cheese', 'flour'})",frozenset({'milk'})
"frozenset({'butter', 'cheese', 'milk'})",frozenset({'flour'})
"frozenset({'cheese', 'flour', 'milk'})",frozenset({'butter'})
"frozenset({'egg', 'butter', 'milk'})",frozenset({'flour'})
"frozenset({'egg', 'butter', 'flour'})",frozenset({'milk'})
"frozenset({'egg', 'milk', 'flour'})",frozenset({'butter'})
"frozenset({'butter', 'milk', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'butter', 'vanilla'})",frozenset({'flour'})
"frozenset({'egg', 'vanilla', 'flour'})",frozenset({'butter'})
"frozenset({'butter', 'vanilla', 'flour'})",frozenset({'egg'})
"frozenset({'butter', 'vanilla'})","frozenset({'egg', 'flour'})"
"frozenset({'vanilla', 'flour'})","frozenset({'egg', 'butter'})"
"frozenset({'egg', 'butter', 'vanilla'})",frozenset({'milk'})
"frozenset({'egg', 'vanilla', 'milk'})",frozenset({'butter'})
"frozenset({'butter', 'vanilla', 'milk'})",frozenset({'egg'})
"frozenset({'butter', 'vanilla'})","frozenset({'egg', 'milk'})"
"frozenset({'butter', 'vanilla', 'milk'})",frozenset({'flour'})
"frozenset({'vanilla', 'flour', 'milk'})",frozenset({'butter'})
"frozenset({'cabbage', 'pasta', 'chicken'})",frozenset({'carrot'})
"frozenset({'cabbage', 'pasta', 'carrot'})",frozenset({'chicken'})
"frozenset({'chicken', 'pasta', 'carrot'})",frozenset({'cabbage'})
"frozenset({'cabbage', 'chicken', 'carrot'})",frozenset({'pasta'})
"frozenset({'cabbage', 'pasta'})","frozenset({'chicken', 'carrot'})"
"frozenset({'cabbage', 'chicken'})","frozenset({'pasta', 'carrot'})"
